policy_id,policy_text,action,protocol,port,source_ip,destination_ip,source_zone,destination_zone,direction,time_constraint,exception_logic,priority,asset_sensitivity,exposure_type,risk_label,firewall_rule
P001,Allow HTTPS service to web server 1,allow,tcp,443,10.0.0.0/24,10.0.1.1,internal,dmz,incoming,none,none,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.1 -j ACCEPT
P002,Allow HTTPS service to web server 2,allow,tcp,443,10.0.0.0/24,10.0.1.2,internal,dmz,incoming,none,none,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.2 -j ACCEPT
P003,Allow HTTPS service to web server 3,allow,tcp,443,10.0.0.0/24,10.0.1.3,internal,dmz,incoming,none,none,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.3 -j ACCEPT
P004,Allow HTTPS service to web server 4,allow,tcp,443,10.0.0.0/24,10.0.1.4,internal,dmz,incoming,none,none,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.4 -j ACCEPT
P005,Allow HTTPS service to web server 5,allow,tcp,443,any,10.0.1.5,public,dmz,incoming,none,none,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.5 -j ACCEPT
P006,Allow HTTPS service to web server 6,allow,tcp,443,10.0.0.0/24,10.0.1.6,internal,dmz,incoming,none,none,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.6 -j ACCEPT
P007,Allow HTTPS service to web server 7,allow,tcp,443,10.0.0.0/24,10.0.1.7,internal,dmz,incoming,none,none,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.7 -j ACCEPT
P008,Allow HTTPS service to web server 8,allow,tcp,443,10.0.0.0/24,10.0.1.8,internal,dmz,incoming,none,none,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.8 -j ACCEPT
P009,Allow HTTPS service to web server 9,allow,tcp,443,10.0.0.0/24,10.0.1.9,internal,dmz,incoming,none,none,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.9 -j ACCEPT
P010,Allow HTTPS service to web server 10,allow,tcp,443,any,10.0.1.10,public,dmz,incoming,none,none,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.10 -j ACCEPT
P011,Allow HTTPS service to web server 11,allow,tcp,443,10.0.0.0/24,10.0.1.11,internal,dmz,incoming,none,none,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.11 -j ACCEPT
P012,Allow HTTPS service to web server 12,allow,tcp,443,10.0.0.0/24,10.0.1.12,internal,dmz,incoming,none,none,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.12 -j ACCEPT
P013,Allow HTTPS service to web server 13,allow,tcp,443,10.0.0.0/24,10.0.1.13,internal,dmz,incoming,none,none,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.13 -j ACCEPT
P014,Allow HTTPS service to web server 14,allow,tcp,443,10.0.0.0/24,10.0.1.14,internal,dmz,incoming,none,none,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.14 -j ACCEPT
P015,Allow HTTPS service to web server 15,allow,tcp,443,any,10.0.1.15,public,dmz,incoming,none,none,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.15 -j ACCEPT
P016,Allow HTTPS service to web server 16,allow,tcp,443,10.0.0.0/24,10.0.1.16,internal,dmz,incoming,none,none,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.16 -j ACCEPT
P017,Allow HTTPS service to web server 17,allow,tcp,443,10.0.0.0/24,10.0.1.17,internal,dmz,incoming,none,none,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.17 -j ACCEPT
P018,Allow HTTPS service to web server 18,allow,tcp,443,10.0.0.0/24,10.0.1.18,internal,dmz,incoming,none,none,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.18 -j ACCEPT
P019,Allow HTTPS service to web server 19,allow,tcp,443,10.0.0.0/24,10.0.1.19,internal,dmz,incoming,none,none,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.19 -j ACCEPT
P020,Allow HTTPS service to web server 20,allow,tcp,443,any,10.0.1.20,public,dmz,incoming,none,none,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.20 -j ACCEPT
P021,Allow HTTPS service to web server 21,allow,tcp,443,10.0.0.0/24,10.0.1.21,internal,dmz,incoming,none,none,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.21 -j ACCEPT
P022,Allow HTTPS service to web server 22,allow,tcp,443,10.0.0.0/24,10.0.1.22,internal,dmz,incoming,none,none,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.22 -j ACCEPT
P023,Allow HTTPS service to web server 23,allow,tcp,443,10.0.0.0/24,10.0.1.23,internal,dmz,incoming,none,none,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.23 -j ACCEPT
P024,Allow HTTPS service to web server 24,allow,tcp,443,10.0.0.0/24,10.0.1.24,internal,dmz,incoming,none,none,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.24 -j ACCEPT
P025,Allow HTTPS service to web server 25,allow,tcp,443,any,10.0.1.25,public,dmz,incoming,none,none,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.25 -j ACCEPT
P026,Allow HTTPS service to web server 26,allow,tcp,443,10.0.0.0/24,10.0.1.26,internal,dmz,incoming,none,none,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.26 -j ACCEPT
P027,Allow HTTPS service to web server 27,allow,tcp,443,10.0.0.0/24,10.0.1.27,internal,dmz,incoming,none,none,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.27 -j ACCEPT
P028,Allow HTTPS service to web server 28,allow,tcp,443,10.0.0.0/24,10.0.1.28,internal,dmz,incoming,none,none,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.28 -j ACCEPT
P029,Allow HTTPS service to web server 29,allow,tcp,443,10.0.0.0/24,10.0.1.29,internal,dmz,incoming,none,none,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.29 -j ACCEPT
P030,Allow HTTPS service to web server 30,allow,tcp,443,any,10.0.1.30,public,dmz,incoming,none,none,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.30 -j ACCEPT
P031,Allow HTTPS service to web server 31,allow,tcp,443,10.0.0.0/24,10.0.1.31,internal,dmz,incoming,none,none,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.31 -j ACCEPT
