policy_id,policy_text,intent,protocol,port,source_ip,dest_ip,source_zone,destination_zone,direction,time_constraint,exception_logic,priority,asset_sensitivity,exposure_type,risk_label,firewall_rule,source
P010,Allow HTTPS service to web server 10,allow,tcp,443,any,10.0.1.10,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.10 -j ACCEPT,csv
P020,Allow HTTPS service to web server 20,allow,tcp,443,any,10.0.1.20,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.20 -j ACCEPT,csv
P030,Allow HTTPS service to web server 30,allow,tcp,443,any,10.0.1.30,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.30 -j ACCEPT,csv
P040,Allow HTTPS service to web server 40,allow,tcp,443,any,10.0.1.40,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.40 -j ACCEPT,csv
P050,Allow HTTPS service to web server 50,allow,tcp,443,any,10.0.1.50,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.50 -j ACCEPT,csv
P060,Allow HTTPS service to web server 60,allow,tcp,443,any,10.0.1.60,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.60 -j ACCEPT,csv
P070,Allow HTTPS service to web server 70,allow,tcp,443,any,10.0.1.70,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.70 -j ACCEPT,csv
P116,Allow HTTPS to server conflict 1,allow,tcp,443,any,10.0.5.1,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.1 -j ACCEPT,csv
P117,Allow HTTPS to server conflict 2,allow,tcp,443,any,10.0.5.2,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.2 -j ACCEPT,csv
P118,Allow HTTPS to server conflict 3,allow,tcp,443,any,10.0.5.3,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.3 -j ACCEPT,csv
P119,Allow HTTPS to server conflict 4,allow,tcp,443,any,10.0.5.4,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.4 -j ACCEPT,csv
P120,Allow HTTPS to server conflict 5,allow,tcp,443,any,10.0.5.5,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.5 -j ACCEPT,csv
P121,Allow HTTPS to server conflict 6,allow,tcp,443,any,10.0.5.6,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.6 -j ACCEPT,csv
P122,Allow HTTPS to server conflict 7,allow,tcp,443,any,10.0.5.7,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.7 -j ACCEPT,csv
P123,Allow HTTPS to server conflict 8,allow,tcp,443,any,10.0.5.8,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.8 -j ACCEPT,csv
P124,Allow HTTPS to server conflict 9,allow,tcp,443,any,10.0.5.9,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.9 -j ACCEPT,csv
P125,Allow HTTPS to server conflict 10,allow,tcp,443,any,10.0.5.10,public,dmz,incoming,,,1,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.5.10 -j ACCEPT,csv
P001,Allow HTTPS service to web server 1,allow,tcp,443,10.0.0.0/24,10.0.1.1,internal,dmz,incoming,,,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.1 -j ACCEPT,csv
